language,feature_id,layer,source_keyword,explanation,rank,pk_id,verse_ref,score,raw_text
cuv,10198,10-llamascope-res-32k,feeling, thoughts and emotions related to introspection and self-reflection,1,2KI-004-008,2 Kings 4:8,0.62935704,一 日 ， 以 利 沙 走 到 书 念 ， 在 那 里 有 一 个 大 户 的 妇 人 强 留 他 吃 饭 。 此 後 ， 以 利 沙 每 从 那 里 经 过 就 进 去 吃 饭 。
cuv,10198,10-llamascope-res-32k,feeling, thoughts and emotions related to introspection and self-reflection,2,1SA-004-013,1 Samuel 4:13,0.6272433,到 了 的 时 候 ， 以 利 正 在 道 旁 坐 在 自 己 的 位 上 观 望 ， 为 　 神 的 约 柜 心 里 担 忧 。 那 人 进 城 报 信 ， 合 城 的 人 就 都 呼 喊 起 来 。
cuv,10198,10-llamascope-res-32k,feeling, thoughts and emotions related to introspection and self-reflection,3,2KI-006-015,2 Kings 6:15,0.61728644,　 神 人 的 仆 人 清 早 起 来 出 去 ， 看 见 车 马 军 兵 围 困 了 城 。 仆 人 对 神 人 说 ： 哀 哉 ！ 我 主 啊 ， 我 们 怎 样 行 才 好 呢 ？
cuv,10198,10-llamascope-res-32k,feeling, thoughts and emotions related to introspection and self-reflection,4,1KI-001-015,1 Kings 1:15,0.61591685,拔 示 巴 进 入 内 室 见 王 ， 王 甚 老 迈 ， 书 念 的 童 女 亚 比 煞 正 伺 候 王 。
cuv,10198,10-llamascope-res-32k,feeling, thoughts and emotions related to introspection and self-reflection,5,JDG-019-008,Judges 19:8,0.61467505,到 第 五 天 ， 他 清 早 起 来 要 走 ， 女 子 的 父 亲 说 ： 请 你 吃 点 饭 ， 加 添 心 力 ， 等 到 日 头 偏 西 再 走 。 於 是 二 人 一 同 吃 饭 。
cuv,10257,2-llamascope-res-32k,feeling,emotional states of feeling fortunate or happy,1,PHP-001-023,Philippians 1:23,0.6306152,我 正 在 两 难 之 间 ， 情 愿 离 世 与 基 督 同 在 ， 因 为 这 是 好 得 无 比 的 。
cuv,10257,2-llamascope-res-32k,feeling,emotional states of feeling fortunate or happy,2,PHP-002-001,Philippians 2:1,0.6301173,所 以 ， 在 基 督 里 若 有 甚 麽 劝 勉 ， 爱 心 有 甚 麽 安 慰 ， 圣 灵 有 甚 麽 交 通 ， 心 中 有 甚 麽 慈 悲 怜 悯 ，
cuv,10257,2-llamascope-res-32k,feeling,emotional states of feeling fortunate or happy,3,1PE-003-011,1 Peter 3:11,0.6189008,也 要 离 恶 行 善 ， 寻 求 和 睦 ， 一 心 追 赶 。
cuv,10257,2-llamascope-res-32k,feeling,emotional states of feeling fortunate or happy,4,GAL-005-023,Galatians 5:23,0.6165048,温 柔 、 节 制 。 这 样 的 事 没 有 律 法 禁 止 。
cuv,10257,2-llamascope-res-32k,feeling,emotional states of feeling fortunate or happy,5,2CO-007-004,2 Corinthians 7:4,0.61581373,我 大 大 的 放 胆 ， 向 你 们 说 话 ； 我 因 你 们 多 多 夸 口 ， 满 得 安 慰 ； 我 们 在 一 切 患 难 中 分 外 的 快 乐 。
cuv,10370,23-llamascope-res-32k,sentiment, expressions of emotion or personal sentiment,1,LUK-011-027,Luke 11:27,0.5129811,耶 稣 正 说 这 话 的 时 候 ， 众 人 中 间 有 一 个 女 人 大 声 说 ： 怀 你 胎 的 和 乳 养 你 的 有 福 了 ！
cuv,10370,23-llamascope-res-32k,sentiment, expressions of emotion or personal sentiment,2,3JN-001-014,3 John 1:14,0.51097035,但 盼 望 快 快 的 见 你 ， 我 们 就 当 面 谈 论 。 [ (III John 1:15) 愿 你 平 安 。 众 位 朋 友 都 问 你 安 。 请 你 替 我 按 着 姓 名 问 众 位 朋 友 安 。 ]
cuv,10370,23-llamascope-res-32k,sentiment, expressions of emotion or personal sentiment,3,LAM-002-016,Lamentations 2:16,0.50495577,你 的 仇 敌 都 向 你 大 大 张 口 ； 他 们 嗤 笑 ， 又 切 齿 说 ： 我 们 吞 灭 她 。 这 真 是 我 们 所 盼 望 的 日 子 临 到 了 ！ 我 们 亲 眼 看 见 了 ！
cuv,10370,23-llamascope-res-32k,sentiment, expressions of emotion or personal sentiment,4,GEN-043-029,Genesis 43:29,0.504865,约 瑟 举 目 看 见 他 同 母 的 兄 弟 便 雅 悯 ， 就 说 ： 『 你 们 向 我 所 说 那 顶 小 的 兄 弟 就 是 这 位 吗 ？ 』 又 说 ： 『 小 儿 啊 ， 愿 　 神 赐 恩 给 你 ! 』
cuv,10370,23-llamascope-res-32k,sentiment, expressions of emotion or personal sentiment,5,GEN-045-028,Genesis 45:28,0.5039418,以 色 列 说 ： 罢 了 ！ 罢 了 ！ 我 的 儿 子 约 瑟 还 在 ， 趁 我 未 死 以 先 ， 我 要 去 见 他 一 面 。
cuv,1041,17-llamascope-res-32k,feeling, sentiments related to music and emotional reactions,1,PHP-002-028,Philippians 2:28,0.640946,所 以 我 越 发 急 速 打 发 他 去 ， 叫 你 们 再 见 他 ， 就 可 以 喜 乐 ， 我 也 可 以 少 些 忧 愁 。
