feature_id,model_id,layer,source_keyword,explanation,exemplar_count,language,rank,pk_id,book_name,chapter,verse,verse_ref,raw_text,score
12447,llama3.1-8b,21-llamascope-res-32k,feeling, references to emotional experiences and thoughts related to relief and accountability,8,cuv,1,JHN-016-033,John,16,33,John 16:33,我 将 这 些 事 告 诉 你 们 ， 是 要 叫 你 们 在 我 里 面 有 平 安 。 在 世 上 ， 你 们 有 苦 难 ； 但 你 们 可 以 放 心 ， 我 已 经 胜 了 世 界 。,0.6857257
29168,llama3.1-8b,19-llamascope-res-32k,feeling,expressions related to emotions and feelings,8,cuv,1,1CO-007-040,1 Corinthians,7,40,1 Corinthians 7:40,然 而 按 我 的 意 见 ， 若 常 守 节 更 有 福 气 。 我 也 想 自 己 是 被 神 的 灵 感 动 了 。,0.6727346
30221,llama3.1-8b,26-llamascope-res-32k,feeling,emotional experiences and complex feelings,8,cuv,1,JHN-016-033,John,16,33,John 16:33,我 将 这 些 事 告 诉 你 们 ， 是 要 叫 你 们 在 我 里 面 有 平 安 。 在 世 上 ， 你 们 有 苦 难 ； 但 你 们 可 以 放 心 ， 我 已 经 胜 了 世 界 。,0.67273337
13867,llama3.1-8b,21-llamascope-res-32k,feeling,various expressions and contexts of feelings and emotions,8,cuv,1,2CO-002-003,2 Corinthians,2,3,2 Corinthians 2:3,我 曾 把 这 事 写 给 你 们 ， 恐 怕 我 到 的 时 候 ， 应 该 叫 我 快 乐 的 那 些 人 ， 反 倒 叫 我 忧 愁 。 我 也 深 信 ， 你 们 众 人 都 以 我 的 快 乐 为 自 己 的 快 乐 。,0.672135
30221,llama3.1-8b,26-llamascope-res-32k,feeling,emotional experiences and complex feelings,8,cuv,2,JHN-016-020,John,16,20,John 16:20,我 实 实 在 在 的 告 诉 你 们 ， 你 们 将 要 痛 哭 、 哀 号 ， 世 人 倒 要 喜 乐 ； 你 们 将 要 忧 愁 ， 然 而 你 们 的 忧 愁 要 变 为 喜 乐 。,0.66780406
16010,llama3.1-8b,0-llamascope-res-32k,feeling, words related to emotions or states of being,8,cuv,1,JER-004-013,Jeremiah,4,13,Jeremiah 4:13,看 哪 ， 仇 敌 必 如 云 上 来 ； 他 的 战 车 如 旋 风 ， 他 的 马 匹 比 鹰 更 快 。 我 们 有 祸 了 ！ 我 们 败 落 了 ！,0.66737014
4241,llama3.1-8b,2-llamascope-res-32k,feeling, expressions of understanding and realization,8,cuv,1,ECC-008-006,Ecclesiastes,8,6,Ecclesiastes 8:6,各 样 事 务 成 就 都 有 时 候 和 定 理 ， 因 为 人 的 苦 难 重 压 在 他 身 上 。,0.66535723
12447,llama3.1-8b,21-llamascope-res-32k,feeling, references to emotional experiences and thoughts related to relief and accountability,8,cuv,2,2CO-001-006,2 Corinthians,1,6,2 Corinthians 1:6,我 们 受 患 难 呢 ， 是 为 叫 你 们 得 安 慰 ， 得 拯 救 ； 我 们 得 安 慰 呢 ， 也 是 为 叫 你 们 得 安 慰 ； 这 安 慰 能 叫 你 们 忍 受 我 们 所 受 的 那 样 苦 楚 。,0.66368306
22875,llama3.1-8b,18-llamascope-res-32k,feeling, phrases indicating a sense of being influenced or affected by various factors or emotions,8,cuv,1,NUM-005-030,Numbers,5,30,Numbers 5:30,或 是 人 生 了 疑 恨 的 心 ， 疑 恨 他 的 妻 ， 就 有 这 疑 恨 的 条 例 。 那 时 他 要 叫 妇 人 站 在 耶 和 华 面 前 ， 祭 司 要 在 他 身 上 照 这 条 例 而 行 。,0.6634636
16010,llama3.1-8b,0-llamascope-res-32k,feeling, words related to emotions or states of being,8,cuv,2,1KI-020-020,1 Kings,20,20,1 Kings 20:20,各 人 遇 见 敌 人 就 杀 。 亚 兰 人 逃 跑 ， 以 色 列 人 追 赶 他 们 ； 亚 兰 王 便 哈 达 骑 着 马 和 马 兵 一 同 逃 跑 。,0.6632377
