feature_key,feature_id,layer,model_id,source_keyword,explanation,x,y,z,nearest_neighbors
25-llamascope-res-32k:16851,16851,25-llamascope-res-32k,llama3.1-8b,feeling,"mentions of the word ""feeling"" in various contexts",0.6438062787055969,0.7403781414031982,0.19327116012573242,21-llamascope-res-32k:13867 | 30-llamascope-res-32k:27974 | 25-llamascope-res-32k:25894 | 17-llamascope-res-32k:25824 | 26-llamascope-res-32k:12677
30-llamascope-res-32k:27974,27974,30-llamascope-res-32k,llama3.1-8b,feeling,"the emotional expressions articulated through the word ""feeling""",0.6753356456756592,0.7243903875350952,0.13849307596683502,31-llamascope-res-32k:2954 | 28-llamascope-res-32k:25898 | 28-llamascope-res-32k:28642 | 20-llamascope-res-32k:28937 | 28-llamascope-res-32k:32431
26-llamascope-res-32k:12677,12677,26-llamascope-res-32k,llama3.1-8b,feeling,"instances of the phrase ""feel like"" indicating emotional states or perceptions",0.6259476542472839,0.7558484673500061,0.19204865396022797,22-llamascope-res-32k:5614 | 25-llamascope-res-32k:16851 | 10-llamascope-res-32k:19244 | 18-llamascope-res-32k:22875 | 5-llamascope-res-32k:22687
30-llamascope-res-32k:11280,11280,30-llamascope-res-32k,llama3.1-8b,feeling,emotions and feelings associated with experiences,0.7218674421310425,0.6698336601257324,0.17386871576309204,25-llamascope-res-32k:14428 | 25-llamascope-res-32k:25894 | 24-llamascope-res-32k:16941 | 21-llamascope-res-32k:14049 | 21-llamascope-res-32k:13782
25-llamascope-res-32k:25894,25894,25-llamascope-res-32k,llama3.1-8b,feeling, emotional sensations and experiences related to feelings,0.7311877012252808,0.6641073226928711,0.15596812963485718,25-llamascope-res-32k:14428 | 30-llamascope-res-32k:11280 | 28-llamascope-res-32k:25898 | 21-llamascope-res-32k:14049 | 24-llamascope-res-32k:16941
5-llamascope-res-32k:22687,22687,5-llamascope-res-32k,llama3.1-8b,feeling," variations of the verb ""feel"" indicating emotional states",0.6377273201942444,0.7498780488967896,0.17603053152561188,26-llamascope-res-32k:12677 | 25-llamascope-res-32k:16851 | 22-llamascope-res-32k:5614 | 21-llamascope-res-32k:13867 | 30-llamascope-res-32k:27974
13-llamascope-res-32k:27562,27562,13-llamascope-res-32k,llama3.1-8b,feeling, sentiments toward events or experiences,0.7768526673316956,0.6131500005722046,0.1433423012495041,21-llamascope-res-32k:13782 | 13-llamascope-res-32k:26998 | 23-llamascope-res-32k:26436 | 2-llamascope-res-32k:15629 | 14-llamascope-res-32k:27960
2-llamascope-res-32k:11412,11412,2-llamascope-res-32k,llama3.1-8b,feeling,expressions related to feeling good,0.7476818561553955,0.5945290327072144,0.2958158850669861,1-llamascope-res-32k:31512 | 2-llamascope-res-32k:15629 | 28-llamascope-res-32k:32431 | 28-llamascope-res-32k:25898 | 19-llamascope-res-32k:29168
17-llamascope-res-32k:25824,25824,17-llamascope-res-32k,llama3.1-8b,feeling," expressions relating to sensation, perception, or feelings",0.6642146706581116,0.7373810410499573,0.12283338606357574,13-llamascope-res-32k:26998 | 23-llamascope-res-32k:17869 | 17-llamascope-res-32k:10844 | 25-llamascope-res-32k:14428 | 28-llamascope-res-32k:25898
28-llamascope-res-32k:28642,28642,28-llamascope-res-32k,llama3.1-8b,feeling, feelings and emotional expressions,0.7319269180297852,0.6812021136283875,0.01570180058479309,28-llamascope-res-32k:25898 | 28-llamascope-res-32k:32431 | 20-llamascope-res-32k:28937 | 22-llamascope-res-32k:32342 | 9-llamascope-res-32k:28668
14-llamascope-res-32k:4256,4256,14-llamascope-res-32k,llama3.1-8b,feeling, sentiments related to relief and psychological experiences,0.7872447967529297,0.5887719392776489,0.18328459560871124,25-llamascope-res-32k:14428 | 24-llamascope-res-32k:16941 | 21-llamascope-res-32k:13782 | 4-llamascope-res-32k:26215 | 23-llamascope-res-32k:26436
24-llamascope-res-32k:16941,16941,24-llamascope-res-32k,llama3.1-8b,feeling, emotions associated with experiences and reflections,0.7423869967460632,0.6502851247787476,0.16121633350849152,25-llamascope-res-32k:14428 | 30-llamascope-res-32k:11280 | 25-llamascope-res-32k:25894 | 21-llamascope-res-32k:14049 | 23-llamascope-res-32k:26436
2-llamascope-res-32k:10257,10257,2-llamascope-res-32k,llama3.1-8b,feeling,emotional states of feeling fortunate or happy,0.7917455434799194,0.5486810207366943,0.268492192029953,9-llamascope-res-32k:308 | 29-llamascope-res-32k:14094 | 2-llamascope-res-32k:15629 | 2-llamascope-res-32k:3693 | 0-llamascope-res-32k:23613
20-llamascope-res-32k:1510,1510,20-llamascope-res-32k,llama3.1-8b,feeling, phrases conveying a feeling of 'sense' or 'awareness',0.6086668372154236,0.7625057101249695,0.21933965384960175,22-llamascope-res-32k:5614 | 20-llamascope-res-32k:23205 | 18-llamascope-res-32k:22875 | 17-llamascope-res-32k:15596 | 6-llamascope-res-32k:16443
29-llamascope-res-32k:9177,9177,29-llamascope-res-32k,llama3.1-8b,feeling,emotions and sensations associated with physical states or experiences,0.6793360710144043,0.7162969708442688,0.15944014489650726,9-llamascope-res-32k:310 | 29-llamascope-res-32k:14094 | 30-llamascope-res-32k:27930 | 19-llamascope-res-32k:29168 | 25-llamascope-res-32k:25894
3-llamascope-res-32k:23361,23361,3-llamascope-res-32k,llama3.1-8b,feeling,phrases expressing emotions or feelings,0.6080213785171509,0.7698118090629578,0.1941642016172409,31-llamascope-res-32k:2954 | 22-llamascope-res-32k:5614 | 23-llamascope-res-32k:17869 | 3-llamascope-res-32k:1559 | 3-llamascope-res-32k:16151
29-llamascope-res-32k:14094,14094,29-llamascope-res-32k,llama3.1-8b,feeling,emotional states and feelings experienced by individuals,0.6984732747077942,0.7043184041976929,0.12677055597305298,21-llamascope-res-32k:14049 | 17-llamascope-res-32k:14269 | 28-llamascope-res-32k:28642 | 29-llamascope-res-32k:9177 | 25-llamascope-res-32k:14428
17-llamascope-res-32k:14269,14269,17-llamascope-res-32k,llama3.1-8b,feeling, emotional states and sensations,0.7200262546539307,0.6889640688896179,0.08301043510437012,21-llamascope-res-32k:14049 | 12-llamascope-res-32k:17366 | 17-llamascope-res-32k:10844 | 29-llamascope-res-32k:14094 | 17-llamascope-res-32k:7433
4-llamascope-res-32k:26215,26215,4-llamascope-res-32k,llama3.1-8b,feeling, feelings of happiness and relaxation,0.7702082395553589,0.569818377494812,0.2865072190761566,4-llamascope-res-32k:10516 | 14-llamascope-res-32k:4256 | 4-llamascope-res-32k:2967 | 19-llamascope-res-32k:3349 | 24-llamascope-res-32k:12255
28-llamascope-res-32k:25898,25898,28-llamascope-res-32k,llama3.1-8b,feeling, expressions related to emotions and feelings,0.7049487829208374,0.7022148370742798,0.09970708191394806,28-llamascope-res-32k:32431 | 28-llamascope-res-32k:28642 | 19-llamascope-res-32k:29168 | 20-llamascope-res-32k:21752 | 25-llamascope-res-32k:14428
28-llamascope-res-32k:32431,32431,28-llamascope-res-32k,llama3.1-8b,feeling,expressions related to emotions and feelings,0.7103350758552551,0.6958539485931396,0.1058834120631218,28-llamascope-res-32k:25898 | 28-llamascope-res-32k:28642 | 19-llamascope-res-32k:29168 | 20-llamascope-res-32k:21752 | 22-llamascope-res-32k:32342
19-llamascope-res-32k:29168,29168,19-llamascope-res-32k,llama3.1-8b,feeling,expressions related to emotions and feelings,0.6764224171638489,0.729801595211029,0.09920844435691833,28-llamascope-res-32k:25898 | 28-llamascope-res-32k:32431 | 20-llamascope-res-32k:21752 | 14-llamascope-res-32k:15994 | 26-llamascope-res-32k:16773
26-llamascope-res-32k:16773,16773,26-llamascope-res-32k,llama3.1-8b,feeling,expressions of emotions related to feeling and emotional states,0.6921911239624023,0.7148308753967285,0.09943976998329163,28-llamascope-res-32k:25898 | 2-llamascope-res-32k:22916 | 28-llamascope-res-32k:32431 | 19-llamascope-res-32k:29168 | 20-llamascope-res-32k:21752
24-llamascope-res-32k:12255,12255,24-llamascope-res-32k,llama3.1-8b,feeling, words associated with feelings of joy and satisfaction,0.7343695759773254,0.6005594730377197,0.31627485156059265,2-llamascope-res-32k:3788 | 4-llamascope-res-32k:2967 | 14-llamascope-res-32k:30673 | 24-llamascope-res-32k:16941 | 19-llamascope-res-32k:3349
22-llamascope-res-32k:21930,21930,22-llamascope-res-32k,llama3.1-8b,feeling, emotional expressions and sensations,0.7388972043991089,0.6737398505210876,-0.010276632383465767,22-llamascope-res-32k:32342 | 20-llamascope-res-32k:28937 | 28-llamascope-res-32k:28642 | 12-llamascope-res-32k:17366 | 18-llamascope-res-32k:25961
14-llamascope-res-32k:15994,15994,14-llamascope-res-32k,llama3.1-8b,feeling,expressions of emotions and feelings,0.7050314545631409,0.7090878486633301,0.011179612018167973,17-llamascope-res-32k:10844 | 19-llamascope-res-32k:29168 | 4-llamascope-res-32k:10516 | 8-llamascope-res-32k:10541 | 20-llamascope-res-32k:28937
4-llamascope-res-32k:10516,10516,4-llamascope-res-32k,llama3.1-8b,feeling,expressions of emotions and feelings,0.712929904460907,0.7011292576789856,-0.01219010166823864,14-llamascope-res-32k:15994 | 8-llamascope-res-32k:10541 | 17-llamascope-res-32k:10844 | 9-llamascope-res-32k:28668 | 3-llamascope-res-32k:16151
22-llamascope-res-32k:32342,32342,22-llamascope-res-32k,llama3.1-8b,feeling,expressions of emotions and feelings,0.7388120293617249,0.6738846302032471,-0.006018246989697218,22-llamascope-res-32k:21930 | 28-llamascope-res-32k:28642 | 20-llamascope-res-32k:28937 | 28-llamascope-res-32k:32431 | 23-llamascope-res-32k:17869
0-llamascope-res-32k:23613,23613,0-llamascope-res-32k,llama3.1-8b,feeling, positive feelings or states,0.7930610775947571,0.5544271469116211,0.252318412065506,1-llamascope-res-32k:31512 | 2-llamascope-res-32k:15629 | 2-llamascope-res-32k:10257 | 23-llamascope-res-32k:15359 | 0-llamascope-res-32k:16010
21-llamascope-res-32k:14049,14049,21-llamascope-res-32k,llama3.1-8b,feeling, emotional experiences and sensations,0.7460426092147827,0.651741623878479,0.13657690584659576,20-llamascope-res-32k:28937 | 17-llamascope-res-32k:14269 | 30-llamascope-res-32k:11280 | 25-llamascope-res-32k:25894 | 29-llamascope-res-32k:14094
6-llamascope-res-32k:16443,16443,6-llamascope-res-32k,llama3.1-8b,feeling, phrases describing experiences and feelings,0.62044757604599,0.7466270923614502,0.23998485505580902,22-llamascope-res-32k:5614 | 20-llamascope-res-32k:23205 | 10-llamascope-res-32k:19244 | 13-llamascope-res-32k:26998 | 3-llamascope-res-32k:23361
2-llamascope-res-32k:22916,22916,2-llamascope-res-32k,llama3.1-8b,feeling,expressions of emotional states related to feeling and emotional connections,0.6794621348381042,0.7271530628204346,0.09787566214799881,26-llamascope-res-32k:16773 | 19-llamascope-res-32k:29168 | 9-llamascope-res-32k:23257 | 28-llamascope-res-32k:25898 | 28-llamascope-res-32k:32431
3-llamascope-res-32k:1559,1559,3-llamascope-res-32k,llama3.1-8b,feeling, phrases expressing emotional reactions and feelings of acceptance,0.6033086776733398,0.7700120806694031,0.20760533213615417,3-llamascope-res-32k:23361 | 0-llamascope-res-32k:15880 | 22-llamascope-res-32k:5614 | 31-llamascope-res-32k:2954 | 3-llamascope-res-32k:16151
21-llamascope-res-32k:13867,13867,21-llamascope-res-32k,llama3.1-8b,feeling,various expressions and contexts of feelings and emotions,0.6994059681892395,0.7093579769134521,0.08742103725671768,19-llamascope-res-32k:29168 | 20-llamascope-res-32k:21752 | 28-llamascope-res-32k:25898 | 14-llamascope-res-32k:15994 | 17-llamascope-res-32k:10844
21-llamascope-res-32k:13782,13782,21-llamascope-res-32k,llama3.1-8b,feeling, emotions and sentiments related to experiences and opinions,0.7761209011077881,0.6108185052871704,0.1566435992717743,20-llamascope-res-32k:21752 | 23-llamascope-res-32k:26436 | 30-llamascope-res-32k:11280 | 21-llamascope-res-32k:14049 | 25-llamascope-res-32k:14428
25-llamascope-res-32k:14428,14428,25-llamascope-res-32k,llama3.1-8b,feeling, emotional expressions and feelings related to experiences,0.741384744644165,0.6576715111732483,0.1334800124168396,25-llamascope-res-32k:25894 | 28-llamascope-res-32k:25898 | 30-llamascope-res-32k:11280 | 28-llamascope-res-32k:32431 | 24-llamascope-res-32k:16941
1-llamascope-res-32k:31512,31512,1-llamascope-res-32k,llama3.1-8b,feeling,expressions of positive experiences or feelings,0.7860426306724548,0.5664247870445251,0.247588112950325,2-llamascope-res-32k:15629 | 6-llamascope-res-32k:3377 | 2-llamascope-res-32k:3693 | 13-llamascope-res-32k:26998 | 21-llamascope-res-32k:4662
14-llamascope-res-32k:27960,27960,14-llamascope-res-32k,llama3.1-8b,feeling, general emotional expressions or sentiments,0.7320419549942017,0.6797726154327393,0.044984880834817886,14-llamascope-res-32k:15994 | 23-llamascope-res-32k:17869 | 28-llamascope-res-32k:28642 | 24-llamascope-res-32k:28483 | 21-llamascope-res-32k:4662
19-llamascope-res-32k:19564,19564,19-llamascope-res-32k,llama3.1-8b,feeling, emotional and sensory states of being,0.7054204344749451,0.6998578906059265,0.11216516047716141,17-llamascope-res-32k:14269 | 29-llamascope-res-32k:14094 | 21-llamascope-res-32k:14049 | 19-llamascope-res-32k:8917 | 20-llamascope-res-32k:28937
19-llamascope-res-32k:13687,13687,19-llamascope-res-32k,llama3.1-8b,feeling, sentiments related to gratitude and appreciation,0.7855716347694397,0.5961302518844604,0.1658492237329483,21-llamascope-res-32k:13782 | 16-llamascope-res-32k:17953 | 19-llamascope-res-32k:29168 | 20-llamascope-res-32k:21752 | 23-llamascope-res-32k:15359
