feature_id,model_id,layer,source_keyword,explanation,exemplar_count,language,rank,pk_id,book_name,chapter,verse,verse_ref,raw_text,score
10198,llama3.1-8b,10-llamascope-res-32k,feeling, thoughts and emotions related to introspection and self-reflection,8,cuv,1,2KI-004-008,2 Kings,4,8,2 Kings 4:8,一 日 ， 以 利 沙 走 到 书 念 ， 在 那 里 有 一 个 大 户 的 妇 人 强 留 他 吃 饭 。 此 後 ， 以 利 沙 每 从 那 里 经 过 就 进 去 吃 饭 。,0.62935704
10198,llama3.1-8b,10-llamascope-res-32k,feeling, thoughts and emotions related to introspection and self-reflection,8,cuv,2,1SA-004-013,1 Samuel,4,13,1 Samuel 4:13,到 了 的 时 候 ， 以 利 正 在 道 旁 坐 在 自 己 的 位 上 观 望 ， 为 　 神 的 约 柜 心 里 担 忧 。 那 人 进 城 报 信 ， 合 城 的 人 就 都 呼 喊 起 来 。,0.6272433
10198,llama3.1-8b,10-llamascope-res-32k,feeling, thoughts and emotions related to introspection and self-reflection,8,cuv,3,2KI-006-015,2 Kings,6,15,2 Kings 6:15,　 神 人 的 仆 人 清 早 起 来 出 去 ， 看 见 车 马 军 兵 围 困 了 城 。 仆 人 对 神 人 说 ： 哀 哉 ！ 我 主 啊 ， 我 们 怎 样 行 才 好 呢 ？,0.61728644
10257,llama3.1-8b,2-llamascope-res-32k,feeling,emotional states of feeling fortunate or happy,8,cuv,1,PHP-001-023,Philippians,1,23,Philippians 1:23,我 正 在 两 难 之 间 ， 情 愿 离 世 与 基 督 同 在 ， 因 为 这 是 好 得 无 比 的 。,0.6306152
10257,llama3.1-8b,2-llamascope-res-32k,feeling,emotional states of feeling fortunate or happy,8,cuv,2,PHP-002-001,Philippians,2,1,Philippians 2:1,所 以 ， 在 基 督 里 若 有 甚 麽 劝 勉 ， 爱 心 有 甚 麽 安 慰 ， 圣 灵 有 甚 麽 交 通 ， 心 中 有 甚 麽 慈 悲 怜 悯 ，,0.6301173
10257,llama3.1-8b,2-llamascope-res-32k,feeling,emotional states of feeling fortunate or happy,8,cuv,3,1PE-003-011,1 Peter,3,11,1 Peter 3:11,也 要 离 恶 行 善 ， 寻 求 和 睦 ， 一 心 追 赶 。,0.6189008
10370,llama3.1-8b,23-llamascope-res-32k,sentiment, expressions of emotion or personal sentiment,8,cuv,1,LUK-011-027,Luke,11,27,Luke 11:27,耶 稣 正 说 这 话 的 时 候 ， 众 人 中 间 有 一 个 女 人 大 声 说 ： 怀 你 胎 的 和 乳 养 你 的 有 福 了 ！,0.5129811
10370,llama3.1-8b,23-llamascope-res-32k,sentiment, expressions of emotion or personal sentiment,8,cuv,2,3JN-001-014,3 John,1,14,3 John 1:14,但 盼 望 快 快 的 见 你 ， 我 们 就 当 面 谈 论 。 [ (III John 1:15) 愿 你 平 安 。 众 位 朋 友 都 问 你 安 。 请 你 替 我 按 着 姓 名 问 众 位 朋 友 安 。 ],0.51097035
10370,llama3.1-8b,23-llamascope-res-32k,sentiment, expressions of emotion or personal sentiment,8,cuv,3,LAM-002-016,Lamentations,2,16,Lamentations 2:16,你 的 仇 敌 都 向 你 大 大 张 口 ； 他 们 嗤 笑 ， 又 切 齿 说 ： 我 们 吞 灭 她 。 这 真 是 我 们 所 盼 望 的 日 子 临 到 了 ！ 我 们 亲 眼 看 见 了 ！,0.50495577
1041,llama3.1-8b,17-llamascope-res-32k,feeling, sentiments related to music and emotional reactions,8,cuv,1,PHP-002-028,Philippians,2,28,Philippians 2:28,所 以 我 越 发 急 速 打 发 他 去 ， 叫 你 们 再 见 他 ， 就 可 以 喜 乐 ， 我 也 可 以 少 些 忧 愁 。,0.640946
